Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Overall_Rating,Rating_Status,School_Latitude,School_Longitude,Location,Year
Chicago Excel Academy HS,HS,60643,208,155,20,1,199,5,0,0,0,0,0,1,0,3,Level 2+,GOOD STANDING,41.691953,-87.654248,POINT (-87.654248 41.691953),2023
Ole A Thorp Elementary Scholastic Academy,ES,60634,789,302,142,66,50,438,242,28,2,0,0,26,3,0,Level 1,GOOD STANDING,41.948571,-87.777631,POINT (-87.777631 41.948571),2023
Sarah E. Goode STEM Academy,HS,60652,961,828,162,179,312,644,3,0,0,0,0,1,1,0,Level 2+,GOOD STANDING,41.75375,-87.707345,POINT (-87.707345 41.75375),2023
Safe Achieve Academy Elementary,ES,60649,3,3,2,0,3,0,0,0,0,0,0,0,0,0,Level 1+,NOT APPLICABLE,41.753117,-87.550513,POINT (-87.550513 41.753117),2023
L.E.A.R.N. - South Chicago Campus,ES,60617,412,326,36,35,369,40,1,0,1,0,0,0,1,0,Level 2+,NOT APPLICABLE,41.733333,-87.54558,POINT (-87.54558 41.733333),2023
LaSalle II Magnet Elementary School,ES,60622,581,169,80,64,118,245,156,17,2,0,0,40,3,0,Level 1+,GOOD STANDING,41.902914,-87.673696,POINT (-87.673696 41.902914),2023
West Ridge Elementary School,ES,60645,627,455,105,300,82,135,200,198,2,0,0,10,0,0,Level 1+,GOOD STANDING,42.002959,-87.705917,POINT (-87.705917 42.002959),2023
Charles Evans Hughes Elementary School,ES,60623,192,146,36,3,178,11,1,0,0,0,0,0,2,0,Level 2+,GOOD STANDING,41.860518,-87.731777,POINT (-87.731777 41.860518),2023
George Westinghouse College Prep,HS,60624,1194,919,91,57,551,500,29,84,4,0,0,18,5,3,Level 1+,GOOD STANDING,41.889977,-87.707332,POINT (-87.707332 41.889977),2023
KIPP Academy Chicago Campus,ES,60644,607,491,82,2,550,17,2,0,1,0,0,2,1,34,Level 1+,NOT APPLICABLE,41.891816,-87.746614,POINT (-87.746614 41.891816),2023
Sidney Sawyer Elementary School,ES,60632,1031,872,113,463,1,1000,18,2,6,0,0,4,0,0,Level 2+,GOOD STANDING,41.797498,-87.705006,POINT (-87.705006 41.797498),2023
Robert Healy Elementary School,ES,60616,1221,897,58,380,29,186,53,937,3,0,0,10,3,0,Level 1+,GOOD STANDING,41.839595,-87.640341,POINT (-87.640341 41.839595),2023
